model,seed,type_x_len_samples,test_type,ft_type,model_type,dataset,accuracy,type_1_len_5,type_1_len_6,type_1_len_7,type_1_len_8,type_1_len_9,type_2_len_6,type_2_len_7,type_2_len_8,type_2_len_9,type_2_len_10,type_3_len_15,type_3_len_16,type_3_len_17,type_3_len_18,type_3_len_19,type_4_len_7,type_4_len_8,type_4_len_9,type_4_len_10,type_4_len_11,type_5_len_15,type_5_len_16,type_5_len_17,type_5_len_18,type_5_len_19,type_6_len_14,type_6_len_15,type_6_len_16,type_6_len_17,type_6_len_18,type_7_len_9,type_7_len_10,type_7_len_11,type_7_len_12,type_7_len_13
qwen-3b,1596,1000,ood_constants,lora,base,base,32.03,22.0,22.0,22.0,13.0,10.0,68.0,59.0,55.0,66.0,56.0,43.0,31.0,30.0,28.0,18.0,41.0,40.0,40.0,32.0,13.0,16.0,16.0,11.0,11.0,10.0,63.0,51.0,56.0,45.0,43.0,32.0,23.0,17.0,9.0,9.0
qwen-7b,512,1000,ood_words,lora,base,base,82.17,77.0,76.0,74.0,61.0,49.0,99.0,99.0,97.0,97.0,94.0,80.0,74.0,82.0,81.0,70.0,83.0,80.0,81.0,80.0,53.0,84.0,85.0,76.0,75.0,66.0,98.0,100.0,98.0,98.0,98.0,89.0,89.0,81.0,80.0,72.0
qwen-3b,1596,1000,ood_support,lora,meta,meta,94.83,78.0,78.0,82.0,85.0,80.0,99.0,95.0,99.0,95.0,97.0,95.0,97.0,97.0,98.0,98.0,89.0,94.0,95.0,96.0,90.0,95.0,98.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,99.0,98.0,97.0
qwen-7b,512,1000,ood_constants,lora,base,base,32.09,40.0,31.0,27.0,21.0,16.0,68.0,60.0,60.0,58.0,62.0,25.0,24.0,24.0,16.0,18.0,32.0,31.0,40.0,30.0,15.0,24.0,24.0,10.0,16.0,13.0,50.0,46.0,45.0,40.0,40.0,31.0,21.0,31.0,19.0,15.0
qwen-7b,1596,1000,ood_words,lora,meta,meta,90.06,89.0,77.0,77.0,74.0,63.0,93.0,97.0,94.0,95.0,89.0,96.0,88.0,89.0,82.0,81.0,90.0,87.0,84.0,79.0,65.0,100.0,98.0,99.0,99.0,97.0,99.0,100.0,98.0,100.0,97.0,98.0,95.0,94.0,96.0,93.0
qwen-7b,1596,1000,ood_constants,lora,meta,meta,57.34,66.0,54.0,35.0,36.0,24.0,79.0,64.0,55.0,53.0,49.0,57.0,50.0,47.0,40.0,46.0,52.0,48.0,39.0,30.0,17.0,90.0,83.0,74.0,66.0,71.0,85.0,74.0,72.0,74.0,64.0,71.0,66.0,68.0,57.0,51.0
qwen-7b,1596,1000,ood_words,lora,base,base,83.54,74.0,70.0,68.0,54.0,43.0,98.0,100.0,99.0,98.0,98.0,85.0,89.0,91.0,90.0,79.0,87.0,90.0,87.0,81.0,73.0,75.0,74.0,82.0,67.0,65.0,99.0,99.0,99.0,100.0,100.0,98.0,90.0,80.0,77.0,65.0
qwen-7b,1596,1000,ood_constants,lora,base,base,36.43,35.0,35.0,29.0,23.0,17.0,70.0,64.0,58.0,63.0,52.0,39.0,37.0,33.0,30.0,25.0,43.0,38.0,42.0,32.0,17.0,20.0,21.0,19.0,18.0,26.0,61.0,58.0,55.0,52.0,49.0,32.0,33.0,24.0,14.0,11.0
qwen-7b,1596,1000,ood_support,lora,meta,meta,97.0,88.0,87.0,85.0,89.0,89.0,99.0,98.0,99.0,100.0,99.0,97.0,98.0,99.0,98.0,100.0,90.0,94.0,95.0,98.0,97.0,98.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0
qwen-1.5b,1048,100,normal,lora,base,meta,23.71,20.0,9.0,10.0,10.0,6.0,62.0,65.0,50.0,51.0,45.0,27.0,18.0,21.0,12.0,10.0,16.0,17.0,14.0,11.0,2.0,28.0,22.0,21.0,9.0,13.0,59.0,45.0,32.0,32.0,26.0,16.0,16.0,21.0,9.0,5.0
qwen-1.5b,1048,100,ood_constants,lora,base,meta,12.66,17.0,5.0,9.0,1.0,4.0,33.0,31.0,31.0,32.0,21.0,13.0,12.0,10.0,8.0,5.0,9.0,15.0,8.0,5.0,1.0,15.0,8.0,9.0,6.0,1.0,34.0,21.0,22.0,15.0,12.0,9.0,11.0,6.0,3.0,1.0
qwen-1.5b,1048,100,ood_words,lora,base,meta,23.17,25.0,13.0,8.0,5.0,6.0,64.0,54.0,50.0,51.0,41.0,29.0,23.0,18.0,13.0,14.0,23.0,10.0,24.0,9.0,4.0,21.0,16.0,19.0,14.0,13.0,50.0,36.0,40.0,32.0,30.0,16.0,11.0,16.0,9.0,4.0
qwen-1.5b,1048,100,ood_support,lora,base,meta,49.54,43.0,39.0,31.0,29.0,25.0,84.0,82.0,75.0,67.0,69.0,41.0,41.0,38.0,40.0,33.0,24.0,27.0,40.0,37.0,20.0,48.0,61.0,52.0,43.0,25.0,94.0,89.0,96.0,86.0,78.0,34.0,47.0,38.0,27.0,31.0
qwen-1.5b,1596,100,normal,lora,base,meta,28.34,21.0,9.0,10.0,4.0,7.0,65.0,67.0,51.0,48.0,44.0,27.0,21.0,24.0,14.0,8.0,26.0,19.0,15.0,11.0,6.0,38.0,39.0,32.0,19.0,22.0,72.0,57.0,51.0,39.0,31.0,25.0,18.0,25.0,16.0,11.0
qwen-1.5b,1596,100,ood_constants,lora,base,meta,15.94,12.0,4.0,9.0,0.0,3.0,46.0,41.0,31.0,33.0,30.0,22.0,18.0,9.0,9.0,6.0,16.0,17.0,14.0,7.0,3.0,12.0,5.0,6.0,9.0,3.0,52.0,37.0,32.0,23.0,21.0,9.0,6.0,8.0,2.0,3.0
qwen-1.5b,1596,100,ood_words,lora,base,meta,27.83,16.0,13.0,11.0,5.0,6.0,59.0,59.0,56.0,52.0,48.0,30.0,25.0,25.0,16.0,10.0,24.0,19.0,18.0,12.0,11.0,35.0,24.0,23.0,19.0,18.0,65.0,60.0,52.0,40.0,29.0,36.0,15.0,16.0,19.0,8.0
qwen-1.5b,1596,100,ood_support,lora,base,meta,56.46,32.0,29.0,35.0,28.0,25.0,89.0,83.0,81.0,68.0,67.0,47.0,49.0,44.0,39.0,38.0,34.0,37.0,43.0,50.0,20.0,55.0,73.0,61.0,47.0,41.0,97.0,97.0,93.0,93.0,87.0,61.0,65.0,65.0,60.0,43.0
qwen-1.5b,512,100,normal,lora,base,meta,33.0,12.0,9.0,4.0,0.0,4.0,61.0,73.0,56.0,63.0,67.0,36.0,33.0,30.0,26.0,17.0,27.0,22.0,29.0,24.0,11.0,29.0,28.0,24.0,24.0,23.0,83.0,60.0,55.0,57.0,50.0,32.0,34.0,20.0,21.0,11.0
qwen-1.5b,512,100,ood_constants,lora,base,meta,18.11,9.0,5.0,3.0,0.0,4.0,39.0,38.0,37.0,32.0,24.0,20.0,18.0,16.0,6.0,10.0,22.0,14.0,13.0,6.0,0.0,22.0,15.0,16.0,8.0,3.0,53.0,41.0,29.0,29.0,32.0,19.0,16.0,11.0,17.0,7.0
qwen-1.5b,512,100,ood_words,lora,base,meta,30.34,13.0,4.0,3.0,0.0,0.0,66.0,68.0,60.0,59.0,66.0,30.0,32.0,22.0,23.0,20.0,21.0,21.0,33.0,18.0,10.0,28.0,30.0,24.0,18.0,17.0,75.0,58.0,49.0,38.0,47.0,24.0,29.0,21.0,20.0,15.0
qwen-1.5b,512,100,ood_support,lora,base,meta,55.77,28.0,29.0,24.0,19.0,16.0,78.0,80.0,81.0,79.0,78.0,52.0,48.0,47.0,49.0,41.0,38.0,32.0,51.0,50.0,36.0,53.0,60.0,46.0,44.0,38.0,97.0,95.0,94.0,94.0,90.0,62.0,60.0,63.0,51.0,49.0
qwen-1.5b,1048,1000,normal,lora,base,meta,53.31,39.0,26.0,12.0,9.0,2.0,94.0,87.0,82.0,87.0,86.0,61.0,52.0,52.0,42.0,39.0,55.0,57.0,63.0,43.0,28.0,40.0,39.0,34.0,39.0,31.0,87.0,85.0,86.0,89.0,75.0,63.0,56.0,45.0,47.0,34.0
qwen-1.5b,1048,1000,ood_constants,lora,base,meta,22.2,17.0,9.0,12.0,5.0,1.0,53.0,47.0,45.0,36.0,49.0,30.0,22.0,17.0,11.0,13.0,27.0,25.0,25.0,13.0,8.0,5.0,13.0,5.0,5.0,4.0,51.0,43.0,38.0,34.0,23.0,25.0,24.0,21.0,10.0,11.0
qwen-1.5b,1048,1000,ood_words,lora,base,meta,51.66,24.0,21.0,11.0,4.0,4.0,89.0,79.0,84.0,82.0,81.0,59.0,58.0,53.0,41.0,50.0,56.0,51.0,63.0,37.0,29.0,39.0,29.0,32.0,33.0,23.0,83.0,88.0,85.0,91.0,73.0,65.0,49.0,57.0,45.0,40.0
qwen-1.5b,1048,1000,ood_support,lora,base,meta,64.2,43.0,39.0,23.0,22.0,14.0,89.0,91.0,90.0,91.0,93.0,67.0,59.0,52.0,46.0,50.0,63.0,63.0,70.0,60.0,44.0,58.0,56.0,43.0,34.0,22.0,97.0,93.0,98.0,99.0,91.0,82.0,84.0,77.0,68.0,76.0
qwen-1.5b,1596,1000,normal,lora,base,meta,52.26,34.0,25.0,25.0,8.0,10.0,94.0,91.0,77.0,83.0,82.0,61.0,50.0,52.0,44.0,37.0,61.0,55.0,58.0,51.0,26.0,36.0,30.0,30.0,23.0,18.0,89.0,82.0,87.0,85.0,83.0,56.0,56.0,50.0,42.0,38.0
qwen-1.5b,1596,1000,ood_constants,lora,base,meta,21.97,16.0,11.0,12.0,6.0,7.0,56.0,44.0,39.0,38.0,39.0,26.0,23.0,21.0,12.0,14.0,23.0,24.0,24.0,14.0,9.0,10.0,9.0,4.0,4.0,4.0,58.0,52.0,47.0,33.0,30.0,17.0,14.0,14.0,7.0,8.0
qwen-1.5b,1596,1000,ood_words,lora,base,meta,49.46,30.0,24.0,18.0,10.0,5.0,89.0,88.0,84.0,77.0,84.0,57.0,55.0,49.0,38.0,35.0,55.0,54.0,55.0,50.0,28.0,29.0,22.0,27.0,21.0,27.0,82.0,85.0,73.0,74.0,75.0,52.0,49.0,53.0,38.0,39.0
qwen-1.5b,1596,1000,ood_support,lora,base,meta,66.66,38.0,39.0,33.0,21.0,17.0,93.0,96.0,92.0,86.0,89.0,67.0,60.0,53.0,50.0,42.0,67.0,67.0,73.0,72.0,51.0,63.0,63.0,62.0,41.0,27.0,92.0,94.0,96.0,94.0,86.0,85.0,86.0,87.0,75.0,76.0
qwen-1.5b,512,1000,normal,lora,base,meta,48.91,34.0,29.0,21.0,12.0,9.0,95.0,91.0,87.0,88.0,80.0,49.0,49.0,48.0,38.0,31.0,55.0,53.0,49.0,45.0,19.0,26.0,24.0,27.0,16.0,13.0,91.0,88.0,89.0,89.0,87.0,47.0,42.0,35.0,32.0,24.0
qwen-1.5b,512,1000,ood_constants,lora,base,meta,23.11,20.0,10.0,12.0,10.0,8.0,62.0,45.0,41.0,37.0,44.0,22.0,23.0,21.0,11.0,12.0,26.0,25.0,20.0,11.0,6.0,4.0,12.0,4.0,4.0,2.0,71.0,55.0,45.0,51.0,41.0,14.0,15.0,11.0,9.0,5.0
qwen-1.5b,512,1000,ood_words,lora,base,meta,49.4,23.0,28.0,21.0,12.0,14.0,88.0,90.0,85.0,87.0,76.0,56.0,54.0,55.0,40.0,35.0,55.0,56.0,52.0,36.0,18.0,19.0,9.0,20.0,19.0,15.0,93.0,95.0,91.0,94.0,95.0,53.0,43.0,51.0,27.0,24.0
qwen-1.5b,512,1000,ood_support,lora,base,meta,57.77,41.0,34.0,38.0,24.0,22.0,93.0,94.0,94.0,93.0,91.0,52.0,46.0,47.0,41.0,35.0,70.0,53.0,61.0,57.0,34.0,39.0,45.0,25.0,20.0,14.0,90.0,90.0,93.0,96.0,90.0,77.0,64.0,58.0,50.0,51.0
qwen-3b,1048,100,normal,lora,base,meta,44.89,18.0,16.0,8.0,6.0,11.0,78.0,74.0,70.0,80.0,75.0,46.0,37.0,39.0,33.0,31.0,41.0,39.0,42.0,34.0,17.0,57.0,46.0,42.0,41.0,46.0,84.0,86.0,76.0,83.0,67.0,42.0,26.0,37.0,25.0,18.0
qwen-3b,1048,100,ood_constants,lora,base,meta,26.51,22.0,13.0,11.0,10.0,2.0,51.0,47.0,43.0,42.0,41.0,24.0,24.0,19.0,16.0,11.0,26.0,22.0,23.0,16.0,5.0,42.0,27.0,20.0,20.0,24.0,62.0,53.0,52.0,50.0,33.0,33.0,15.0,16.0,6.0,7.0
qwen-3b,1048,100,ood_words,lora,base,meta,43.57,17.0,17.0,16.0,9.0,7.0,86.0,74.0,67.0,77.0,73.0,52.0,41.0,39.0,36.0,36.0,34.0,40.0,44.0,24.0,10.0,56.0,48.0,40.0,31.0,43.0,82.0,80.0,77.0,70.0,54.0,37.0,29.0,38.0,26.0,15.0
qwen-3b,1048,100,ood_support,lora,base,meta,68.09,39.0,49.0,38.0,35.0,40.0,85.0,86.0,89.0,85.0,75.0,70.0,58.0,68.0,62.0,56.0,48.0,54.0,61.0,71.0,50.0,64.0,64.0,66.0,72.0,59.0,91.0,97.0,93.0,94.0,88.0,81.0,81.0,76.0,71.0,67.0
qwen-3b,1596,100,normal,lora,base,meta,46.97,25.0,22.0,16.0,13.0,16.0,81.0,79.0,78.0,76.0,78.0,49.0,45.0,43.0,32.0,34.0,34.0,40.0,48.0,30.0,13.0,46.0,42.0,36.0,33.0,35.0,84.0,73.0,79.0,84.0,70.0,50.0,48.0,50.0,37.0,25.0
qwen-3b,1596,100,ood_constants,lora,base,meta,25.11,17.0,12.0,10.0,10.0,7.0,56.0,50.0,37.0,47.0,41.0,31.0,28.0,23.0,20.0,19.0,23.0,18.0,24.0,14.0,7.0,28.0,22.0,10.0,10.0,14.0,59.0,52.0,52.0,42.0,32.0,21.0,13.0,15.0,11.0,4.0
qwen-3b,1596,100,ood_words,lora,base,meta,45.86,26.0,22.0,25.0,12.0,12.0,83.0,84.0,73.0,69.0,73.0,45.0,45.0,37.0,33.0,29.0,33.0,36.0,48.0,28.0,12.0,53.0,44.0,33.0,33.0,34.0,85.0,77.0,76.0,80.0,56.0,57.0,46.0,46.0,33.0,27.0
qwen-3b,1596,100,ood_support,lora,base,meta,68.09,43.0,46.0,47.0,43.0,43.0,88.0,89.0,88.0,92.0,87.0,69.0,57.0,68.0,57.0,56.0,45.0,57.0,58.0,73.0,60.0,56.0,67.0,64.0,62.0,49.0,89.0,93.0,89.0,94.0,84.0,70.0,81.0,73.0,69.0,77.0
qwen-3b,512,1000,normal,lora,base,meta,63.14,44.0,44.0,37.0,27.0,21.0,99.0,98.0,95.0,96.0,96.0,72.0,63.0,68.0,65.0,57.0,65.0,69.0,71.0,68.0,46.0,46.0,45.0,35.0,36.0,32.0,87.0,83.0,81.0,80.0,70.0,71.0,68.0,67.0,57.0,51.0
qwen-3b,512,1000,ood_constants,lora,base,meta,37.66,26.0,27.0,21.0,14.0,11.0,80.0,72.0,70.0,62.0,70.0,42.0,35.0,37.0,23.0,25.0,41.0,43.0,40.0,27.0,9.0,31.0,24.0,18.0,15.0,13.0,74.0,61.0,58.0,52.0,42.0,41.0,47.0,40.0,15.0,12.0
qwen-3b,512,1000,ood_words,lora,base,meta,63.03,39.0,41.0,42.0,21.0,22.0,95.0,97.0,97.0,95.0,94.0,69.0,69.0,58.0,51.0,47.0,70.0,74.0,73.0,68.0,53.0,40.0,51.0,35.0,30.0,30.0,83.0,88.0,87.0,84.0,71.0,76.0,77.0,68.0,60.0,51.0
qwen-3b,512,1000,ood_support,lora,base,meta,69.06,60.0,54.0,52.0,33.0,36.0,98.0,100.0,97.0,98.0,98.0,73.0,62.0,58.0,56.0,53.0,80.0,74.0,75.0,77.0,63.0,44.0,48.0,40.0,30.0,21.0,93.0,95.0,92.0,91.0,85.0,83.0,82.0,81.0,71.0,64.0
qwen-3b,1596,1000,normal,lora,base,meta,68.83,44.0,45.0,39.0,28.0,26.0,95.0,96.0,93.0,98.0,90.0,73.0,68.0,72.0,59.0,62.0,69.0,76.0,74.0,65.0,43.0,64.0,58.0,64.0,63.0,54.0,98.0,92.0,92.0,93.0,86.0,74.0,66.0,71.0,60.0,59.0
qwen-3b,1596,1000,ood_constants,lora,base,meta,38.03,25.0,18.0,17.0,15.0,13.0,70.0,67.0,56.0,59.0,64.0,42.0,37.0,35.0,27.0,28.0,42.0,41.0,34.0,31.0,17.0,30.0,31.0,20.0,30.0,13.0,72.0,66.0,74.0,58.0,47.0,40.0,38.0,34.0,23.0,17.0
qwen-3b,1596,1000,ood_words,lora,base,meta,67.09,37.0,45.0,42.0,29.0,35.0,96.0,96.0,94.0,91.0,93.0,67.0,71.0,69.0,59.0,52.0,71.0,65.0,68.0,57.0,43.0,60.0,65.0,56.0,60.0,58.0,96.0,95.0,97.0,94.0,89.0,70.0,68.0,64.0,53.0,43.0
qwen-3b,1596,1000,ood_support,lora,base,meta,70.03,59.0,62.0,49.0,35.0,28.0,96.0,95.0,96.0,93.0,96.0,72.0,66.0,57.0,55.0,49.0,73.0,68.0,68.0,57.0,40.0,71.0,71.0,51.0,54.0,41.0,99.0,99.0,100.0,99.0,96.0,77.0,77.0,72.0,65.0,65.0
qwen-7b,1048,100,normal,lora,base,meta,45.74,31.0,23.0,19.0,11.0,14.0,83.0,78.0,77.0,73.0,76.0,53.0,42.0,41.0,36.0,38.0,28.0,38.0,45.0,43.0,20.0,44.0,39.0,28.0,33.0,34.0,85.0,81.0,65.0,69.0,72.0,45.0,41.0,38.0,24.0,34.0
qwen-7b,1048,100,ood_constants,lora,base,meta,25.2,20.0,10.0,9.0,4.0,6.0,55.0,54.0,43.0,43.0,53.0,42.0,34.0,31.0,24.0,18.0,21.0,27.0,18.0,22.0,7.0,11.0,12.0,5.0,12.0,4.0,48.0,48.0,44.0,54.0,56.0,15.0,17.0,8.0,4.0,3.0
qwen-7b,1048,100,ood_words,lora,base,meta,45.57,29.0,22.0,20.0,14.0,17.0,84.0,84.0,75.0,79.0,71.0,47.0,41.0,49.0,36.0,35.0,34.0,40.0,45.0,32.0,19.0,34.0,46.0,33.0,31.0,33.0,83.0,76.0,78.0,69.0,65.0,43.0,42.0,39.0,21.0,29.0
qwen-7b,1048,100,ood_support,lora,base,meta,62.8,34.0,39.0,49.0,38.0,31.0,87.0,85.0,80.0,83.0,83.0,65.0,55.0,67.0,60.0,54.0,45.0,55.0,60.0,72.0,52.0,43.0,56.0,54.0,50.0,54.0,84.0,88.0,76.0,72.0,74.0,72.0,72.0,71.0,68.0,70.0
qwen-7b,512,1000,normal,lora,base,meta,74.03,69.0,72.0,61.0,52.0,49.0,92.0,92.0,90.0,91.0,83.0,66.0,66.0,70.0,57.0,53.0,64.0,67.0,72.0,64.0,50.0,75.0,73.0,65.0,70.0,66.0,94.0,89.0,91.0,88.0,78.0,88.0,86.0,83.0,86.0,79.0
qwen-7b,512,1000,ood_constants,lora,base,meta,41.31,44.0,36.0,22.0,19.0,13.0,64.0,67.0,60.0,60.0,55.0,38.0,34.0,28.0,19.0,23.0,37.0,36.0,40.0,33.0,19.0,39.0,48.0,27.0,33.0,26.0,75.0,65.0,59.0,60.0,56.0,51.0,43.0,47.0,43.0,27.0
qwen-7b,512,1000,ood_words,lora,base,meta,75.83,64.0,69.0,64.0,50.0,46.0,96.0,94.0,89.0,90.0,90.0,70.0,68.0,66.0,65.0,52.0,67.0,70.0,73.0,65.0,38.0,89.0,75.0,84.0,78.0,75.0,90.0,95.0,89.0,90.0,83.0,86.0,82.0,83.0,88.0,81.0
qwen-7b,512,1000,ood_support,lora,base,meta,79.06,77.0,80.0,81.0,57.0,63.0,95.0,92.0,88.0,81.0,78.0,75.0,79.0,71.0,63.0,54.0,76.0,70.0,67.0,79.0,58.0,84.0,84.0,77.0,62.0,47.0,95.0,94.0,96.0,94.0,91.0,98.0,96.0,91.0,86.0,88.0
qwen-3b,512,100,normal,lora,base,meta,39.0,15.0,16.0,20.0,18.0,12.0,76.0,73.0,65.0,70.0,73.0,49.0,46.0,45.0,30.0,32.0,28.0,38.0,39.0,27.0,8.0,53.0,49.0,44.0,26.0,38.0,64.0,54.0,40.0,33.0,27.0,37.0,38.0,32.0,28.0,22.0
qwen-3b,512,100,ood_constants,lora,base,meta,18.66,14.0,7.0,9.0,3.0,6.0,57.0,46.0,34.0,28.0,28.0,27.0,25.0,22.0,13.0,17.0,21.0,16.0,16.0,15.0,4.0,19.0,16.0,11.0,6.0,13.0,33.0,35.0,27.0,24.0,19.0,14.0,10.0,10.0,6.0,2.0
qwen-3b,512,100,ood_words,lora,base,meta,39.23,16.0,19.0,17.0,5.0,13.0,75.0,76.0,73.0,64.0,70.0,53.0,44.0,41.0,26.0,34.0,37.0,38.0,45.0,28.0,13.0,53.0,43.0,46.0,40.0,36.0,51.0,44.0,35.0,35.0,18.0,44.0,41.0,31.0,38.0,31.0
qwen-3b,512,100,ood_support,lora,base,meta,66.63,38.0,48.0,47.0,41.0,28.0,87.0,88.0,83.0,76.0,72.0,68.0,66.0,67.0,63.0,54.0,39.0,52.0,59.0,67.0,46.0,68.0,75.0,81.0,68.0,53.0,87.0,90.0,86.0,77.0,75.0,76.0,75.0,82.0,76.0,74.0
qwen-7b,512,100,normal,lora,base,meta,40.97,31.0,20.0,20.0,8.0,12.0,74.0,77.0,68.0,75.0,70.0,53.0,45.0,46.0,28.0,30.0,40.0,37.0,51.0,41.0,15.0,40.0,37.0,27.0,22.0,39.0,59.0,59.0,40.0,48.0,45.0,39.0,38.0,46.0,23.0,31.0
qwen-7b,512,100,ood_constants,lora,base,meta,21.11,21.0,10.0,16.0,4.0,5.0,49.0,52.0,35.0,48.0,45.0,34.0,28.0,27.0,17.0,17.0,21.0,25.0,25.0,13.0,4.0,17.0,13.0,6.0,10.0,10.0,31.0,28.0,20.0,28.0,33.0,17.0,15.0,7.0,8.0,0.0
qwen-7b,512,100,ood_words,lora,base,meta,40.03,29.0,23.0,17.0,11.0,7.0,71.0,80.0,71.0,74.0,70.0,50.0,38.0,41.0,34.0,27.0,35.0,34.0,46.0,26.0,15.0,38.0,41.0,33.0,24.0,33.0,54.0,65.0,48.0,49.0,50.0,44.0,44.0,38.0,22.0,19.0
qwen-7b,512,100,ood_support,lora,base,meta,61.91,30.0,48.0,48.0,38.0,28.0,86.0,82.0,79.0,82.0,61.0,59.0,50.0,65.0,59.0,56.0,51.0,48.0,60.0,65.0,48.0,53.0,60.0,57.0,56.0,65.0,84.0,88.0,76.0,76.0,69.0,70.0,68.0,74.0,60.0,68.0
qwen-7b,1596,1000,normal,lora,base,meta,78.06,66.0,61.0,58.0,37.0,39.0,96.0,99.0,98.0,95.0,96.0,76.0,75.0,80.0,67.0,63.0,80.0,80.0,83.0,84.0,63.0,73.0,69.0,69.0,66.0,67.0,95.0,97.0,94.0,97.0,95.0,95.0,87.0,83.0,79.0,70.0
qwen-7b,1596,1000,ood_constants,lora,base,meta,47.43,43.0,36.0,30.0,19.0,12.0,78.0,65.0,62.0,63.0,55.0,45.0,52.0,39.0,34.0,31.0,41.0,49.0,49.0,32.0,19.0,51.0,49.0,48.0,38.0,47.0,81.0,82.0,78.0,78.0,61.0,49.0,39.0,40.0,37.0,28.0
qwen-7b,1596,1000,ood_words,lora,base,meta,76.83,62.0,61.0,63.0,37.0,38.0,97.0,99.0,96.0,94.0,95.0,74.0,75.0,77.0,71.0,65.0,73.0,74.0,79.0,77.0,59.0,67.0,70.0,76.0,63.0,57.0,97.0,95.0,98.0,97.0,96.0,94.0,91.0,83.0,70.0,69.0
qwen-7b,1596,1000,ood_support,lora,base,meta,81.66,72.0,74.0,70.0,55.0,47.0,100.0,98.0,97.0,94.0,97.0,86.0,78.0,74.0,66.0,68.0,85.0,79.0,83.0,92.0,73.0,82.0,74.0,74.0,65.0,44.0,99.0,97.0,94.0,93.0,87.0,98.0,99.0,95.0,84.0,85.0
qwen-7b,1048,1000,normal,lora,base,meta,73.94,72.0,49.0,48.0,43.0,42.0,97.0,98.0,97.0,95.0,94.0,67.0,64.0,70.0,51.0,55.0,78.0,75.0,76.0,69.0,53.0,64.0,65.0,64.0,61.0,49.0,100.0,98.0,99.0,95.0,95.0,95.0,87.0,81.0,72.0,70.0
qwen-7b,1048,1000,ood_constants,lora,base,meta,41.4,33.0,29.0,18.0,18.0,11.0,67.0,71.0,60.0,65.0,56.0,40.0,32.0,32.0,21.0,23.0,42.0,43.0,33.0,37.0,21.0,41.0,43.0,36.0,28.0,31.0,76.0,70.0,69.0,71.0,57.0,53.0,42.0,42.0,21.0,17.0
qwen-7b,1048,1000,ood_words,lora,base,meta,76.17,64.0,64.0,53.0,43.0,32.0,97.0,99.0,98.0,96.0,95.0,73.0,65.0,66.0,60.0,63.0,73.0,76.0,80.0,70.0,51.0,74.0,73.0,67.0,61.0,65.0,100.0,100.0,99.0,98.0,98.0,91.0,92.0,83.0,77.0,70.0
qwen-7b,1048,1000,ood_support,lora,base,meta,78.97,76.0,70.0,67.0,52.0,42.0,97.0,98.0,99.0,99.0,97.0,73.0,72.0,73.0,57.0,57.0,75.0,76.0,80.0,87.0,66.0,72.0,74.0,64.0,51.0,38.0,99.0,100.0,98.0,99.0,98.0,99.0,97.0,94.0,82.0,86.0
qwen-7b,1596,100,normal,lora,base,meta,50.09,28.0,26.0,26.0,9.0,8.0,79.0,80.0,79.0,79.0,82.0,61.0,46.0,44.0,39.0,34.0,42.0,34.0,47.0,42.0,19.0,47.0,43.0,37.0,35.0,43.0,93.0,90.0,88.0,89.0,91.0,50.0,41.0,45.0,28.0,29.0
qwen-7b,1596,100,ood_constants,lora,base,meta,30.23,28.0,20.0,18.0,14.0,10.0,65.0,67.0,49.0,53.0,53.0,37.0,40.0,36.0,23.0,19.0,26.0,29.0,29.0,17.0,10.0,14.0,13.0,10.0,7.0,7.0,65.0,53.0,57.0,66.0,64.0,21.0,19.0,11.0,6.0,2.0
qwen-7b,1596,100,ood_words,lora,base,meta,50.11,28.0,21.0,23.0,14.0,17.0,83.0,86.0,82.0,81.0,74.0,56.0,53.0,47.0,40.0,36.0,38.0,35.0,37.0,32.0,15.0,48.0,46.0,36.0,38.0,45.0,87.0,87.0,88.0,86.0,89.0,54.0,52.0,46.0,27.0,27.0
qwen-7b,1596,100,ood_support,lora,base,meta,67.63,42.0,47.0,40.0,34.0,35.0,89.0,91.0,92.0,89.0,86.0,66.0,61.0,63.0,63.0,55.0,47.0,52.0,62.0,73.0,45.0,65.0,74.0,63.0,52.0,58.0,95.0,96.0,94.0,93.0,92.0,80.0,73.0,78.0,63.0,59.0
